Date,Argentina,Australia,Brasil,Canada,China,France,Germany,India,Italy,Japan,Mexico,South Korea,Turkey,USA
2003-09-05,1.3556,1.045,1.3228,1.11338,1.07256,1.05684,1.14267,1.31014,1.04935,1.22235,1.22766,1.14225,1.12305,1.09944
2003-09-08,1.36282,1.05037,1.33527,1.11682,1.06822,1.06213,1.15339,1.32965,1.0617,1.22614,1.23386,1.1403,1.11818,1.11047
2003-09-09,1.31227,1.05199,1.30765,1.11104,1.06398,1.05139,1.13846,1.32694,1.04971,1.25349,1.22096,1.15112,1.15346,1.10136
2003-09-17,1.44404,1.04604,1.37205,1.11354,1.04131,1.05721,1.12789,1.27001,1.04766,1.2613,1.22311,1.14981,1.25112,1.10437
2003-09-18,1.44043,1.04744,1.40507,1.11164,1.04181,1.06378,1.14404,1.23967,1.05827,1.26626,1.24234,1.1372,1.29564,1.11902
2003-09-19,1.41155,1.0464,1.40191,1.11187,1.04247,1.05089,1.13349,1.26455,1.05921,1.25537,1.24603,1.1223,1.31921,1.11549
2003-09-22,1.43321,1.03824,1.37155,1.10665,1.03503,1.02264,1.09471,1.24493,1.03545,1.20219,1.234,1.07227,1.33674,1.10098
2003-09-24,1.4657,1.04328,1.33594,1.11189,1.04462,1.01667,1.04754,1.30631,1.03522,1.20531,1.22967,1.08698,1.33223,1.08651
2003-09-25,1.45126,1.03167,1.31498,1.09888,1.03118,1.00631,1.05353,1.28854,1.02749,1.18325,1.22712,1.07021,1.3455,1.07993
2003-09-26,1.46209,1.03125,1.31539,1.08714,1.02709,1.00202,1.05308,1.31416,1.01888,1.18421,1.22938,1.04603,1.32842,1.07302
2003-09-29,1.48014,1.02891,1.34018,1.08897,1.01547,0.99328,1.05262,1.32,1.01721,1.17401,1.2373,1.04402,1.27986,1.0835
2003-09-30,1.49458,1.0306,1.33203,1.08538,1.02434,0.97655,1.03152,1.33535,1.00303,1.17281,1.2351,1.04621,1.26055,1.07208
2003-10-08,1.52708,1.05453,1.48128,1.10706,1.02773,1.01194,1.07541,1.38981,1.02797,1.20989,1.23346,1.08407,1.46252,1.11278
2003-10-09,1.55776,1.0572,1.47321,1.11221,1.02584,1.03574,1.10283,1.40895,1.04142,1.20866,1.25319,1.10417,1.43927,1.1181
2003-10-10,1.55776,1.06009,1.47055,1.11646,1.05195,1.02986,1.09945,1.43,1.03697,1.23788,1.25508,1.13676,1.48886,1.11738
2003-10-14,1.56137,1.06747,1.51231,1.1334,1.04008,1.04194,1.12064,1.43394,1.0471,1.25858,1.24525,1.14971,1.45047,1.12968
2003-10-15,1.5704,1.06773,1.49268,1.13834,1.03628,1.05131,1.13091,1.4559,1.05752,1.25095,1.23845,1.14627,1.48516,1.12675
2003-10-16,1.56498,1.07144,1.49376,1.13975,1.0231,1.04586,1.13318,1.46551,1.05528,1.26532,1.23758,1.16538,1.50588,1.13031
2003-10-17,1.58484,1.07118,1.48012,1.12874,1.0269,1.04468,1.11384,1.47847,1.0505,1.26678,1.241,1.15155,1.48513,1.11874
2003-10-20,1.62996,1.06903,1.52829,1.12909,1.0186,1.04627,1.12735,1.45482,1.05021,1.28099,1.24352,1.16458,1.48289,1.12451
2003-10-21,1.64982,1.07423,1.53486,1.13612,1.02219,1.04767,1.13392,1.42605,1.05325,1.26605,1.25313,1.16976,1.50573,1.12596
2003-10-22,1.61011,1.07287,1.51705,1.12781,1.04745,1.02879,1.10558,1.4217,1.03895,1.24977,1.24958,1.16884,1.47726,1.10909
2003-10-23,1.61011,1.06207,1.47171,1.11889,1.03894,1.01683,1.10765,1.39387,1.02911,1.18613,1.24325,1.13114,1.43179,1.11277
2003-10-24,1.66787,1.05882,1.48203,1.11366,1.03533,1.01744,1.09356,1.42654,1.02937,1.18619,1.23832,1.12218,1.43535,1.10753
2003-10-27,1.65704,1.05495,1.47671,1.12094,1.02606,1.03,1.11398,1.40883,1.03596,1.19978,1.24817,1.14234,1.40624,1.10992
2003-10-28,1.69675,1.05466,1.51647,1.12898,1.02595,1.0442,1.13609,1.41168,1.04299,1.21205,1.25188,1.16296,1.41672,1.12678
2003-10-30,1.69314,1.06451,1.50532,1.13194,1.00745,1.05516,1.15279,1.43349,1.05507,1.22749,1.26675,1.17883,1.48491,1.12694
2003-10-31,1.6787,1.06393,1.49601,1.13681,1.0102,1.05075,1.15797,1.47137,1.05711,1.21189,1.27337,1.17346,1.52108,1.131
2003-11-04,1.72383,1.06155,1.54251,1.15012,1.04111,1.06683,1.18512,1.52864,1.0705,1.24499,1.30511,1.19401,1.57071,1.13373
2003-11-05,1.74368,1.05375,1.52304,1.1507,1.03778,1.057,1.17751,1.51876,1.06375,1.24379,1.29977,1.20819,1.58423,1.13218
2003-11-07,1.73827,1.05629,1.55341,1.14964,1.00039,1.07565,1.19806,1.49077,1.08114,1.21985,1.33112,1.206,1.51662,1.13369
2003-11-10,1.71841,1.0503,1.54509,1.14307,1.00406,1.06695,1.18655,1.49887,1.07818,1.20557,1.32188,1.19476,1.49929,1.12712
2003-11-11,1.65884,1.04071,1.53153,1.13674,1.0067,1.06099,1.18137,1.50849,1.07051,1.17143,1.32084,1.18158,1.46989,1.12654
2003-11-12,1.66787,1.04149,1.56356,1.14041,0.98735,1.06254,1.18722,1.50103,1.07712,1.17363,1.34829,1.19439,1.52273,1.13942
2003-11-13,1.68231,1.04627,1.56032,1.13606,0.98871,1.06301,1.19268,1.48405,1.08344,1.18642,1.3648,1.21959,1.55027,1.13929
2003-11-14,1.68231,1.0411,1.57953,1.13384,0.99728,1.07424,1.20276,1.45907,1.08725,1.16684,1.35882,1.21476,1.5526,1.13061
2003-11-17,1.64982,1.03219,1.55316,1.13584,0.99507,1.04642,1.16384,1.48138,1.07125,1.1232,1.34029,1.19163,1.51459,1.12338
2003-11-18,1.65523,1.03252,1.56514,1.13165,0.98642,1.04444,1.16123,1.46665,1.07761,1.13585,1.34871,1.20138,1.52168,1.11317
2003-11-19,1.66245,1.03447,1.56464,1.14096,1.00314,1.04146,1.15679,1.44644,1.07466,1.10344,1.3186,1.15747,1.52358,1.1221
2003-12-01,1.80325,1.03079,1.70724,1.15902,1.07344,1.08722,1.21029,1.54753,1.1186,1.19395,1.3612,1.21101,1.54554,1.15189
2003-12-02,1.84477,1.03652,1.702,1.15946,1.0754,1.08149,1.20651,1.5551,1.1183,1.19474,1.36346,1.21159,1.56817,1.14813
2003-12-03,1.82852,1.04549,1.70882,1.16419,1.08268,1.09085,1.22754,1.56584,1.1253,1.18513,1.35056,1.21243,1.58242,1.14609
2003-12-04,1.82491,1.0502,1.69834,1.16907,1.08851,1.08918,1.22726,1.56704,1.13177,1.19702,1.34663,1.20762,1.57106,1.15146
2003-12-05,1.85379,1.0502,1.7371,1.16863,1.08724,1.0769,1.2168,1.5388,1.12421,1.19053,1.34043,1.18404,1.59354,1.14261
2003-12-09,1.83755,1.04663,1.76872,1.16653,1.08144,1.07658,1.21821,1.56807,1.11819,1.16193,1.33087,1.18095,1.62793,1.14119
2003-12-10,1.77798,1.04416,1.74484,1.15354,1.10095,1.0712,1.21021,1.58492,1.10882,1.1374,1.31715,1.19188,1.60415,1.13998
2003-12-11,1.80866,1.03707,1.77171,1.16365,1.1014,1.08025,1.22222,1.58925,1.11767,1.15629,1.33278,1.18662,1.59806,1.15307
2003-12-15,1.77437,1.05599,1.72296,1.16012,1.10166,1.08727,1.22748,1.61651,1.11887,1.20399,1.3165,1.23316,1.68094,1.14965
2003-12-16,1.78881,1.04546,1.72712,1.1682,1.09865,1.08608,1.22448,1.63035,1.1158,1.17884,1.31813,1.21611,1.66149,1.15729
2003-12-17,1.80325,1.05073,1.76364,1.17593,1.08939,1.08398,1.21865,1.62471,1.11669,1.1583,1.32883,1.20006,1.66364,1.15874
2003-12-18,1.83935,1.04835,1.78777,1.18829,1.09187,1.09125,1.22603,1.63574,1.12294,1.1596,1.34519,1.21117,1.71303,1.17241
2003-12-19,1.80505,1.05118,1.7792,1.1867,1.08362,1.09089,1.23475,1.66163,1.11128,1.18032,1.35233,1.21672,1.7578,1.17185
2003-12-22,1.8556,1.05853,1.7995,1.18986,1.11859,1.08902,1.22795,1.67261,1.08954,1.19042,1.35233,1.20673,1.77533,1.17646
2003-12-29,1.94585,1.06711,1.83403,1.20815,1.12119,1.09673,1.25195,1.73839,1.0958,1.20512,1.37832,1.18858,1.73538,1.19426
2003-12-30,1.94043,1.07144,1.84992,1.20132,1.13262,1.09934,1.25589,1.73674,1.09261,1.22532,1.38493,1.21599,1.76618,1.19443
2004-01-05,2.06679,1.06848,1.95774,1.22588,1.17508,1.12398,1.2783,1.81085,1.11716,1.24237,1.42957,1.23607,1.90171,1.20797
